Country or Area,Item,Year,Value
Latin America & the Caribbean (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.3796107321462
Timor-Leste,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.48
Timor-Leste,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.42
Timor-Leste,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.06
Middle East & North Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,11.339555388162
Middle East & North Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.060775374394
Middle East & North Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.7328728044933
Tonga,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.07
Tonga,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.01
Tonga,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.37
South Asia (IDA & IBRD),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.10210975678172
South Asia (IDA & IBRD),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.03648259157799
South Asia (IDA & IBRD),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.62507641718098
Sub-Saharan Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.2338611001282
Sub-Saharan Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.27682799648702
Sub-Saharan Africa (IDA & IBRD countries),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.62907378161816
Trinidad and Tobago,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.4
Trinidad and Tobago,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.46
Trinidad and Tobago,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.74
Tunisia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,15.46
Tunisia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,15.13
Tunisia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,16.69
Turkey,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.89
Turkey,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,13.67
Turkey,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.92
Tuvalu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Tuvalu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Tuvalu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Tanzania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.99
Tanzania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.96
Tanzania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.16
Uganda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.75
Uganda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.72
Uganda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.44
Ukraine,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.8
Ukraine,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.19
Ukraine,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.48
Upper middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.79648098244751
Upper middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.0736446711794
Upper middle income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.85018098220749
Uruguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.34
Uruguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.35
Uruguay,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.67
United States,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.9
United States,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.67
United States,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.31
Uzbekistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.71
Uzbekistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.65
Uzbekistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.97
St. Vincent and the Grenadines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,18.73
St. Vincent and the Grenadines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,18.62
St. Vincent and the Grenadines,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,20.27
"Venezuela, RB","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.22
"Venezuela, RB","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.16
"Venezuela, RB","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.14
British Virgin Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
British Virgin Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
British Virgin Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Virgin Islands (U.S.),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.99
Virgin Islands (U.S.),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.09
Virgin Islands (U.S.),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.84
Vietnam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.16
Vietnam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.04
Vietnam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.27
Vanuatu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.72
Vanuatu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.69
Vanuatu,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,1.95
World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.37175865124152
World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.37256933431952
World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.47128085605066
Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.32
Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.22
Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.87
Kosovo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Kosovo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Kosovo,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
"Yemen, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,13.01
"Yemen, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.9
"Yemen, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.42
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,26.91
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,28.47
South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,28.74
Zambia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.01
Zambia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.91
Zambia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.17
Zimbabwe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.07
Zimbabwe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.02
Zimbabwe,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.73
Aruba,GDP per capita (current US$),2018,30253.2793580195
Aruba,GDP per capita (current US$),2019,
Aruba,GDP per capita (current US$),2020,
Africa Eastern and Southern,GDP per capita (current US$),2018,1530.16191737441
Africa Eastern and Southern,GDP per capita (current US$),2019,1481.42529193585
Africa Eastern and Southern,GDP per capita (current US$),2020,1326.66365762056
Afghanistan,GDP per capita (current US$),2018,493.756581366026
Afghanistan,GDP per capita (current US$),2019,507.103391875763
Afghanistan,GDP per capita (current US$),2020,508.808409485223
Africa Western and Central,GDP per capita (current US$),2018,1695.95921508335
Africa Western and Central,GDP per capita (current US$),2019,1772.33915484035
Africa Western and Central,GDP per capita (current US$),2020,1714.42679990415
Angola,GDP per capita (current US$),2018,3289.64399476678
Angola,GDP per capita (current US$),2019,2809.62608839129
Angola,GDP per capita (current US$),2020,1895.77086891313
Albania,GDP per capita (current US$),2018,5284.38018438156
Albania,GDP per capita (current US$),2019,5355.84779459031
Albania,GDP per capita (current US$),2020,5215.27675237003
Andorra,GDP per capita (current US$),2018,41791.9698372411
Andorra,GDP per capita (current US$),2019,40897.3308728669
Andorra,GDP per capita (current US$),2020,
Arab World,GDP per capita (current US$),2018,6568.98405167902
Arab World,GDP per capita (current US$),2019,6570.174197334
Arab World,GDP per capita (current US$),2020,5802.10412863519
United Arab Emirates,GDP per capita (current US$),2018,43839.3244866903
United Arab Emirates,GDP per capita (current US$),2019,43103.3362929869
United Arab Emirates,GDP per capita (current US$),2020,
Argentina,GDP per capita (current US$),2018,11633.4980086503
Argentina,GDP per capita (current US$),2019,9912.28180859863
Argentina,GDP per capita (current US$),2020,8441.9194391094
Armenia,GDP per capita (current US$),2018,4220.54032079145
Armenia,GDP per capita (current US$),2019,4622.73818208855
Armenia,GDP per capita (current US$),2020,4267.45211938157
American Samoa,GDP per capita (current US$),2018,11557.671156308
American Samoa,GDP per capita (current US$),2019,11534.5675441134
American Samoa,GDP per capita (current US$),2020,
Antigua and Barbuda,GDP per capita (current US$),2018,16673.4369025555
Antigua and Barbuda,GDP per capita (current US$),2019,17113.3497705088
Antigua and Barbuda,GDP per capita (current US$),2020,14449.9965204973
Australia,GDP per capita (current US$),2018,57354.9640455891
Australia,GDP per capita (current US$),2019,55057.2046960666
Australia,GDP per capita (current US$),2020,51812.1540373988
Austria,GDP per capita (current US$),2018,51453.1470238016
Austria,GDP per capita (current US$),2019,50121.5542131186
Austria,GDP per capita (current US$),2020,48105.3646248411
Azerbaijan,GDP per capita (current US$),2018,4739.84171028393
Azerbaijan,GDP per capita (current US$),2019,4805.75371765917
Azerbaijan,GDP per capita (current US$),2020,4214.3113363475
Burundi,GDP per capita (current US$),2018,271.752496382505
Burundi,GDP per capita (current US$),2019,261.24529116164
Burundi,GDP per capita (current US$),2020,274.009523229095
Belgium,GDP per capita (current US$),2018,47554.7463078937
Belgium,GDP per capita (current US$),2019,46414.4352334354
Belgium,GDP per capita (current US$),2020,44594.3781075628
Benin,GDP per capita (current US$),2018,1240.83096186066
Benin,GDP per capita (current US$),2019,1219.51547853535
Benin,GDP per capita (current US$),2020,1291.04096203645
Burkina Faso,GDP per capita (current US$),2018,813.099689441984
Burkina Faso,GDP per capita (current US$),2019,786.895437677452
Burkina Faso,GDP per capita (current US$),2020,830.925144621939
Bangladesh,GDP per capita (current US$),2018,1698.13208078712
Bangladesh,GDP per capita (current US$),2019,1855.6915096678
Bangladesh,GDP per capita (current US$),2020,1968.79222484581
Bulgaria,GDP per capita (current US$),2018,9427.73043039881
Bulgaria,GDP per capita (current US$),2019,9828.14851478139
Bulgaria,GDP per capita (current US$),2020,9975.78000070924
Bahrain,GDP per capita (current US$),2018,23991.0413905597
Bahrain,GDP per capita (current US$),2019,23443.4348283266
Bahrain,GDP per capita (current US$),2020,
"Bahamas, The",GDP per capita (current US$),2018,33767.9411879108
"Bahamas, The",GDP per capita (current US$),2019,34863.3840497476
"Bahamas, The",GDP per capita (current US$),2020,28607.9013752136
Bosnia and Herzegovina,GDP per capita (current US$),2018,6072.18462285304
Bosnia and Herzegovina,GDP per capita (current US$),2019,6120.11262579357
Bosnia and Herzegovina,GDP per capita (current US$),2020,6031.55686867658
Belarus,GDP per capita (current US$),2018,6330.0752464187
Belarus,GDP per capita (current US$),2019,6839.10383292452
Belarus,GDP per capita (current US$),2020,6411.2278131981
Belize,GDP per capita (current US$),2018,5001.42215663433
Belize,GDP per capita (current US$),2019,5078.80994441772
